# Shirakawa 4x8x130 S-pentacube tiling, canonical coords
# piece_no=x,y,z;x,y,z;x,y,z;x,y,z;x,y,z
168=0,6,25;0,6,26;1,6,25;2,6,25;2,7,25
169=1,6,26;1,7,26;2,6,26;3,6,25;3,6,26
170=0,6,27;0,7,25;0,7,26;0,7,27;1,7,25
171=0,0,26;0,0,27;0,1,27;0,2,27;1,2,27
172=0,1,26;0,2,26;0,3,26;0,3,27;1,1,26
173=2,1,26;2,2,26;2,3,26;2,3,27;3,1,26
174=0,3,28;1,2,26;1,3,26;1,3,27;1,3,28
175=2,3,28;3,2,26;3,3,26;3,3,27;3,3,28
176=1,4,26;1,5,26;2,5,26;3,5,26;3,5,27
177=2,4,26;3,4,26;3,4,27;3,4,28;3,5,28
178=0,5,26;0,5,27;1,5,27;2,4,27;2,5,27
179=2,0,27;2,0,28;2,0,29;2,1,27;3,0,29
180=2,2,27;3,0,27;3,0,28;3,1,27;3,2,27
181=1,6,27;1,7,27;2,7,27;3,7,27;3,7,28
182=2,6,27;3,6,27;3,6,28;3,6,29;3,7,29
183=0,0,28;0,1,28;0,2,28;0,2,29;1,0,28
184=1,1,28;1,1,29;2,1,28;3,1,28;3,2,28
185=1,1,30;1,2,28;1,2,29;1,2,30;2,2,28
186=0,4,28;0,4,29;1,4,28;2,4,28;2,5,28
187=0,5,28;0,5,29;0,6,29;0,7,29;1,7,29
188=0,3,29;1,3,29;1,4,29;1,5,28;1,5,29
189=0,6,28;0,7,28;1,7,28;2,7,28;2,7,29
190=1,5,30;1,6,28;1,6,29;1,6,30;2,6,28
191=0,0,29;1,0,29;1,0,30;1,0,31;1,1,31
192=0,1,29;0,1,30;0,2,30;0,3,30;1,3,30
193=2,1,29;2,1,30;2,1,31;2,2,29;3,1,31
194=2,3,29;3,1,29;3,1,30;3,2,29;3,3,29
195=2,4,29;2,5,29;2,6,29;2,6,30;3,4,29
196=2,3,30;3,3,30;3,4,30;3,5,29;3,5,30
197=0,0,30;0,0,31;0,1,31;0,2,31;1,2,31
198=2,0,30;3,0,30;3,0,31;3,0,32;3,1,32
199=2,2,30;3,2,30;3,2,31;3,2,32;3,3,32
200=0,4,30;0,4,31;1,4,30;2,4,30;2,5,30
201=0,5,30;0,5,31;0,6,31;0,7,31;1,7,31
202=0,6,30;0,7,30;1,7,30;2,7,30;2,7,31
203=2,7,32;3,6,30;3,7,30;3,7,31;3,7,32
204=0,0,32;0,1,32;1,0,32;2,0,31;2,0,32
205=0,2,32;0,3,32;1,2,32;2,2,31;2,2,32
206=0,3,31;1,3,31;1,3,32;1,3,33;1,4,33
207=2,3,31;2,4,31;2,5,31;2,5,32;3,3,31
208=0,5,33;1,4,31;1,5,31;1,5,32;1,5,33
209=2,6,31;3,4,31;3,4,32;3,5,31;3,6,31
210=1,6,31;1,6,32;2,6,32;3,5,32;3,6,32
211=1,1,32;2,1,32;2,1,33;2,1,34;2,2,34
212=1,4,34;2,3,32;2,4,32;2,4,33;2,4,34
